,date,season,neutral,playoff,home_team,away_team,home_pre,away_pre,home_prob,away_prob,home_post,away_post,home_pitcher,away_pitcher,home_pitcher_rgs,away_pitcher_rgs,home_pitcher_rating,away_pitcher_rating,home_score,away_score
12,10/15/2020,2020,1,l,HOU,TBD,1546.828,1570.731,0.454,0.546,1549.16,1568.399,Luis Garcia,John Curtiss,49.045,47.237,-19.484,-30.015,4,3
13,10/14/2020,2020,1,l,HOU,TBD,1544.449,1573.11,0.445,0.555,1546.828,1570.731,Zack Greinke,Tyler Glasnow,54.81,54.502,7.909,3.559,4,3
15,10/13/2020,2020,1,l,HOU,TBD,1547.444,1570.115,0.457,0.543,1544.449,1573.11,Jose Urquidy,Ryan Yarbrough,52.996,52.609,-0.387,-5.366,2,5
23,10/8/2020,2020,1,d,HOU,OAK,1547.656,1542.674,0.51,0.49,1551.997,1538.333,Zack Greinke,Frankie Montas,55.578,51.137,11.714,3.771,11,6
27,10/7/2020,2020,1,d,HOU,OAK,1550.556,1539.774,0.521,0.479,1547.656,1542.674,Jose Urquidy,Jesus Luzardo,54.671,49.67,6.335,-3.759,7,9
31,10/6/2020,2020,1,d,OAK,HOU,1543.066,1547.264,0.492,0.508,1539.774,1550.556,Sean Manaea,Framber Valdez,52.421,50.758,8.607,-11.919,2,5
34,10/5/2020,2020,1,d,OAK,HOU,1547.618,1542.712,0.509,0.491,1543.066,1547.264,Chris Bassitt,Lance McCullers Jr.,54.773,53.237,18.962,-1.632,5,10
39,10/1/2020,2020,0,c,OAK,CHW,1545.674,1507.786,0.617,0.383,1547.618,1505.842,Mike Fiers,Dane Dunning,50.478,49.662,-1.922,-6.889,6,4
45,9/30/2020,2020,0,c,OAK,CHW,1543.679,1509.781,0.609,0.391,1545.674,1507.786,Chris Bassitt,Dallas Keuchel,54.223,54.019,16.36,12.602,5,3
51,9/29/2020,2020,0,c,OAK,CHW,1548.128,1505.332,0.625,0.375,1543.679,1509.781,Jesus Luzardo,Lucas Giolito,50.864,58.865,-0.102,36.6,1,4
55,9/27/2020,2020,0,s,OAK,SEA,1546.343,1481.52,0.625,0.375,1548.128,1479.735,Frankie Montas,Marco Gonzales,50.224,54.88,-2.276,31.232,6,2
64,9/27/2020,2020,0,s,TEX,HOU,1456.42,1539.296,0.416,0.584,1459.44,1536.276,Jordan Lyles,Chase De Jong,45.221,43.971,-25.52,-45.6,8,4
