,date,season,neutral,playoff,home_team,away_team,home_pre,away_pre,home_prob,away_prob,home_post,away_post,home_pitcher,away_pitcher,home_pitcher_rgs,away_pitcher_rgs,home_pitcher_rating,away_pitcher_rating,home_score,away_score
9,10/16/2020,2020,1,l,ATL,LAD,1560.74,1597.372,0.43,0.57,1557.527,1600.585,A.J. Minter,Dustin May,47.4,49.969,-10.7,-10.214,3,7
11,10/15/2020,2020,1,l,ATL,LAD,1553.411,1604.701,0.403,0.597,1560.74,1597.372,Bryse Wilson,Clayton Kershaw,47.317,57.544,-10.048,24.874,10,2
14,10/14/2020,2020,1,l,ATL,LAD,1559.588,1598.524,0.426,0.574,1553.411,1604.701,Kyle Wright,Julio Urias,47.719,50.639,-10.023,-7.34,3,15
24,10/8/2020,2020,1,d,FLA,ATL,1477.39,1548.125,0.368,0.632,1473.749,1551.766,Sixto Sanchez,Kyle Wright,51.412,45.868,9.443,-16.637,0,7
28,10/7/2020,2020,1,d,ATL,FLA,1546.264,1479.251,0.626,0.374,1548.125,1477.39,Ian Anderson,Pablo Lopez,54.106,51.478,23.066,10.076,2,0
32,10/6/2020,2020,1,d,ATL,FLA,1543.508,1482.007,0.616,0.384,1546.264,1479.251,Max Fried,Sandy Alcantara,54.191,53.25,22.956,18.181,9,5
40,10/1/2020,2020,0,c,ATL,CIN,1540.459,1499.042,0.623,0.377,1543.508,1495.993,Ian Anderson,Luis Castillo,52.395,56.675,15.64,8.927,5,0
48,9/30/2020,2020,0,c,ATL,CIN,1539.012,1500.489,0.618,0.382,1540.459,1499.042,Max Fried,Trevor Bauer,53.378,58.884,21.233,20.963,1,0
60,9/27/2020,2020,0,s,ATL,BOS,1543.998,1492.698,0.607,0.393,1539.012,1497.683,Bryse Wilson,Nick Pivetta,47.399,48.27,-6.983,-0.331,1,9
63,9/27/2020,2020,0,s,WSN,NYM,1525.566,1508.563,0.559,0.441,1529.429,1504.701,Austin Voth,Seth Lugo,47.273,48.244,-22.13,-12.354,15,5
75,9/26/2020,2020,0,s,ATL,BOS,1548.285,1488.411,0.618,0.382,1543.998,1492.698,Tucker Davidson,Tanner Houck,47.4,50.646,-8.439,11.643,2,8
81,9/26/2020,2020,0,s,WSN,NYM,1523.961,1510.169,0.554,0.446,1525.566,1508.563,Anibal Sanchez,Rick Porcello,48.893,49.735,-14.508,-6.414,5,3
83,9/26/2020,2020,0,s,WSN,NYM,1522.724,1511.406,0.551,0.449,1523.961,1510.169,Max Scherzer,Jacob deGrom,58.156,63.403,28.886,57.796,4,3
96,9/25/2020,2020,0,s,ATL,BOS,1547.313,1489.382,0.616,0.384,1548.285,1488.411,Kyle Wright,Chris Mazza,44.425,47.163,-21.825,-4.314,8,7
107,9/24/2020,2020,0,s,ATL,FLA,1549.849,1466.806,0.649,0.351,1547.313,1469.342,Ian Anderson,Pablo Lopez,52.326,50.605,15.503,9.818,2,4
110,9/24/2020,2020,0,s,WSN,NYM,1524.338,1509.792,0.555,0.445,1522.724,1511.406,Patrick Corbin,David Peterson,52.257,48.8,0.758,-9.867,2,3
118,9/23/2020,2020,0,s,NYM,TBD,1511.884,1554.932,0.473,0.527,1509.792,1557.024,Michael Wacha,Tyler Glasnow,45.915,54.539,-23.736,4.306,5,8
119,9/23/2020,2020,0,s,ATL,FLA,1547.978,1468.677,0.644,0.356,1549.849,1466.806,Max Fried,Sixto Sanchez,54.661,51.712,25.525,14.378,9,4
126,9/23/2020,2020,0,s,WSN,PHI,1529.452,1496.599,0.581,0.419,1524.338,1501.713,Erick Fedde,Zach Eflin,44.84,49.293,-33.876,-10.776,3,12
136,9/22/2020,2020,0,s,NYM,TBD,1509.443,1557.373,0.466,0.534,1511.884,1554.932,Seth Lugo,Blake Snell,47.579,55.36,-15.446,7.778,5,2
137,9/22/2020,2020,0,s,ATL,FLA,1545.032,1471.624,0.637,0.363,1547.978,1468.677,Bryse Wilson,Jose Urena,45.696,48.132,-15.805,-2.791,11,1
142,9/22/2020,2020,0,s,WSN,PHI,1528.313,1497.738,0.578,0.422,1529.452,1496.599,Paolo Espino,David Hale,46.446,47.145,-26.694,-20.813,8,7
143,9/22/2020,2020,0,s,WSN,PHI,1526.158,1499.894,0.572,0.428,1528.313,1497.738,Austin Voth,Aaron Nola,45.918,58.09,-28.184,30.615,5,1
147,9/21/2020,2020,0,s,NYM,TBD,1510.737,1556.079,0.469,0.531,1509.443,1557.373,Jacob deGrom,Peter Fairbanks,63.107,47.863,58.397,-27.469,1,2
148,9/21/2020,2020,0,s,ATL,FLA,1544.125,1472.53,0.634,0.366,1545.032,1471.624,Huascar Ynoa,Trevor Rogers,46.826,46.548,-11.02,-10.834,5,4
153,9/21/2020,2020,0,s,WSN,PHI,1523.961,1502.09,0.566,0.434,1526.158,1499.894,Anibal Sanchez,Zack Wheeler,48.357,56.482,-16.381,23.309,5,1
156,9/20/2020,2020,0,s,FLA,WSN,1478.076,1518.416,0.477,0.523,1472.53,1523.961,Braxton Garrett,Ben Braymer,48.405,47.4,-3.347,-20.36,0,15
162,9/20/2020,2020,0,s,PHI,TOR,1504.654,1488.363,0.558,0.442,1502.09,1490.926,Adonis Medina,Taijuan Walker,47.4,50.031,-19.428,0.759,3,6
165,9/20/2020,2020,0,s,NYM,ATL,1514.334,1540.528,0.497,0.503,1510.737,1544.125,Rick Porcello,Kyle Wright,48.624,41.495,-8.716,-34.771,0,7
166,9/20/2020,2020,0,s,FLA,WSN,1476.532,1519.96,0.472,0.528,1478.076,1518.416,Sandy Alcantara,Max Scherzer,51.453,58.282,11.576,30.978,2,1
179,9/19/2020,2020,0,s,NYM,ATL,1511.274,1543.588,0.488,0.512,1514.334,1540.528,David Peterson,Ian Anderson,47.562,52.528,-13.14,17.141,7,2
182,9/19/2020,2020,0,s,FLA,WSN,1473.639,1522.852,0.464,0.536,1476.532,1519.96,Pablo Lopez,Patrick Corbin,50.071,53.908,5.639,8.958,7,3
184,9/19/2020,2020,0,s,PHI,TOR,1503.064,1489.953,0.553,0.447,1504.654,1488.363,Vince Velasquez,Hyun-Jin Ryu,47.062,56.384,-20.5,31.377,3,1
