,date,season,neutral,playoff,home_team,away_team,home_pre,away_pre,home_prob,away_prob,home_post,away_post,home_pitcher,away_pitcher,home_pitcher_rgs,away_pitcher_rgs,home_pitcher_rating,away_pitcher_rating,home_score,away_score
0,10/27/2020,2020,1,w,LAD,TBD,1607.758,1564.178,0.583,0.417,1610.046,1561.89,Tony Gonsolin,Blake Snell,54.056,54.534,7.996,6.04,3,1
4,10/21/2020,2020,1,w,LAD,TBD,1608.352,1563.583,0.585,0.415,1604.836,1567.099,Tony Gonsolin,Blake Snell,54.975,54.422,13.013,4.01,4,6
5,10/20/2020,2020,1,w,LAD,TBD,1604.61,1567.326,0.571,0.429,1608.352,1563.583,Clayton Kershaw,Tyler Glasnow,56.73,53.858,21.936,0.529,8,3
6,10/18/2020,2020,1,l,LAD,ATL,1602.88,1555.232,0.59,0.41,1604.61,1553.502,Dustin May,Ian Anderson,49.525,55.776,-12.43,28.113,4,3
8,10/17/2020,2020,1,l,LAD,ATL,1600.585,1557.527,0.582,0.418,1602.88,1555.232,Walker Buehler,Max Fried,55.507,54.017,16.253,19.495,3,1
16,10/13/2020,2020,1,l,LAD,ATL,1601.245,1556.867,0.584,0.416,1598.524,1559.588,Tony Gonsolin,Ian Anderson,56.016,55.44,17.372,26.722,7,8
17,10/12/2020,2020,1,l,LAD,ATL,1606.346,1551.766,0.603,0.397,1601.245,1556.867,Walker Buehler,Max Fried,55.723,53.406,15.953,17.917,1,5
21,10/8/2020,2020,1,d,SDP,LAD,1521.764,1602.36,0.35,0.65,1517.778,1606.346,Adrian Morejon,Dustin May,47.22,50.096,-17.814,-10.687,3,12
25,10/7/2020,2020,1,d,LAD,SDP,1600.942,1523.182,0.645,0.355,1602.36,1521.764,Clayton Kershaw,Zach Davies,57.976,51.683,26.202,2.639,6,5
29,10/6/2020,2020,1,d,LAD,SDP,1598.291,1525.833,0.636,0.364,1600.942,1523.182,Walker Buehler,Mike Clevinger,55.687,59.374,15.633,38.633,5,1
35,10/2/2020,2020,0,c,SDP,STL,1522.313,1520.1,0.55,0.45,1525.833,1516.58,Craig Stammen,Jack Flaherty,47.4,57.311,-17.746,29.444,4,0
37,10/1/2020,2020,0,c,LAD,MIL,1596.678,1502.693,0.712,0.288,1598.291,1501.08,Clayton Kershaw,Brandon Woodruff,56.675,57.81,21.717,33.175,3,0
38,10/1/2020,2020,0,c,SDP,STL,1519.723,1522.69,0.54,0.46,1522.313,1520.1,Zach Davies,Adam Wainwright,52.966,52.749,7.282,7.517,11,9
41,9/30/2020,2020,0,c,LAD,MIL,1595.309,1504.063,0.708,0.292,1596.678,1502.693,Walker Buehler,Brent Suter,56.108,51.086,18.845,0.627,4,2
