,date,season,playoff,home_team,away_team,home_pitcher,away_pitcher,home_pitcher_rgs,away_pitcher_rgs,home_pitcher_rating,away_pitcher_rating,home_score,away_score,compare_score,compare_pitchers,home_win,away_win,win_pitch_adj,pitcher_difference,lose_pitch_adj
957,10/22/2019,2019,w,HOU,WSN,Gerrit Cole,Max Scherzer,67.997,61.808,52.677,27.889,4,5,-1,24.788,False,True,27.889,-24.788,52.677
23146,10/27/2010,2010,w,SFG,TEX,Tim Lincecum,Cliff Lee,58.564,63.401,24.097,48.048,11,7,4,-23.951,True,False,24.097,-23.951,48.048
25609,10/28/2009,2009,w,NYY,PHI,CC Sabathia,Cliff Lee,62.527,59.9,45.562,36.514,1,6,-5,9.047999999999995,False,True,36.514,-9.047999999999995,45.562
5882,10/31/2017,2017,w,LAD,HOU,Rich Hill,Justin Verlander,55.895,61.875,16.898,42.748,3,1,2,-25.849999999999998,True,False,16.898,-25.849999999999998,42.748
23142,11/1/2010,2010,w,TEX,SFG,Cliff Lee,Tim Lincecum,61.87,57.711,41.496,19.261,1,3,-2,22.235000000000003,False,True,19.261,-22.235000000000003,41.496
8349,11/2/2016,2016,w,CLE,CHC,Corey Kluber,Kyle Hendricks,62.352,60.495,40.469,16.957,7,8,-1,23.512,False,True,16.957,-23.512,40.469
18211,10/24/2012,2012,w,SFG,DET,Barry Zito,Justin Verlander,47.441,63.458,-14.777,40.35,8,3,5,-55.127,True,False,-14.777,-55.127,40.35
5883,10/29/2017,2017,w,HOU,LAD,Dallas Keuchel,Clayton Kershaw,55.92,59.647,14.266,33.707,13,12,1,-19.441000000000003,True,False,14.266,-19.441000000000003,33.707
956,10/23/2019,2019,w,HOU,WSN,Justin Verlander,Stephen Strasburg,63.846,60.259,33.679,20.411,3,12,-9,13.268,False,True,20.411,-13.268,33.679
15744,10/23/2013,2013,w,BOS,STL,Jon Lester,Adam Wainwright,55.428,58.769,15.515,29.873,8,1,7,-14.358,True,False,15.515,-14.358,29.873
