,date,season,home_team,away_team,home_pitcher,away_pitcher,home_pitcher_rgs,away_pitcher_rgs,home_score,away_score,compare_score,home_win,away_win,win_pitch_rgs,lose_pitch_rgs
45294,11/3/2001,2001,ARI,NYY,johnr005,Andy Pettitte,69.536,54.12,15,2,13,True,False,69.536,54.12
59742,10/21/1995,1995,ATL,CLE,maddg002,herso001,69.215,58.384,3,2,1,True,False,69.215,58.384
45298,10/28/2001,2001,ARI,NYY,johnr005,Andy Pettitte,68.325,53.618,4,0,4,True,False,68.325,53.618
114458,10/6/1968,1968,DET,STL,mclad101,gibsb101,58.493,67.392,1,10,-9,False,True,67.392,58.493
119333,10/14/1965,1965,MIN,LAD,kaatj101,koufs101,49.581,67.166,0,2,-2,False,True,67.166,49.581
45293,11/4/2001,2001,ARI,NYY,schic002,clemr001,66.928,59.013,3,2,1,True,False,66.928,59.013
953,10/27/2019,2019,WSN,HOU,Joe Ross,Gerrit Cole,49.433,66.891,1,7,-6,False,True,66.891,49.433
94668,10/13/1978,1978,NYY,LAD,guidr001,suttd001,66.53,51.601,5,1,4,True,False,66.53,51.601
119335,10/11/1965,1965,LAD,MIN,koufs101,kaatj101,66.328,50.593,7,0,7,True,False,66.328,50.593
114461,10/2/1968,1968,STL,DET,gibsb101,mclad101,66.285,59.169,4,0,4,True,False,66.285,59.169
45299,10/27/2001,2001,ARI,NYY,schic002,mussm001,65.948,62.771,9,1,8,True,False,65.948,62.771
157107,9/30/1936,1936,SFG,NYY,hubbc101,ruffr101,65.383,53.923,6,1,5,True,False,65.383,53.923
182801,10/8/1915,1915,PHI,BOS,alexg102,shore101,65.363,57.539,3,1,2,True,False,65.363,57.539
155858,10/10/1937,1937,SFG,NYY,meltc101,gomel102,55.903,65.006,2,4,-2,False,True,65.006,55.903
163284,10/1/1931,1931,STL,OAK,derrp101,grovl101,54.207,64.771,2,6,-4,False,True,64.771,54.207
57443,10/20/1996,1996,NYY,ATL,Andy Pettitte,smolj001,56.277,64.644,1,12,-11,False,True,64.644,56.277
155862,10/6/1937,1937,NYY,SFG,gomel102,hubbc101,64.387,57.632,8,1,7,True,False,64.387,57.632
159580,10/9/1934,1934,DET,STL,aukee101,deand102,54.581,64.336,0,11,-11,False,True,64.336,54.581
163279,10/9/1931,1931,STL,OAK,derrp101,grovl101,53.69,64.19,1,8,-7,False,True,64.19,53.69
3421,10/23/2018,2018,BOS,LAD,Chris Sale,Clayton Kershaw,64.089,56.629,8,4,4,True,False,64.089,56.629
159586,10/3/1934,1934,DET,STL,crowg102,deand102,49.099,64.007,3,8,-5,False,True,64.007,49.099
122596,10/6/1963,1963,LAD,NYY,koufs101,fordw101,63.523,55.538,2,1,1,True,False,63.523,55.538
160811,10/6/1933,1933,MIN,SFG,weavm101,hubbc101,54.286,63.393,1,2,-1,False,True,63.393,54.286
148432,10/11/1943,1943,STL,NYY,coopm101,chans101,59.579,63.067,0,2,-2,False,True,63.067,59.579
57442,10/21/1996,1996,NYY,ATL,key-j001,maddg002,55.277,63.006,0,4,-4,False,True,63.006,55.277
122599,10/2/1963,1963,NYY,LAD,fordw101,koufs101,56.71,62.96,2,5,-3,False,True,62.96,56.71
148436,10/5/1943,1943,NYY,STL,chans101,lanim101,62.79,57.275,4,2,2,True,False,62.79,57.275
30527,10/24/2007,2007,BOS,COL,Josh Beckett,Jeff Francis,62.775,56.459,13,1,12,True,False,62.775,56.459
149676,10/4/1942,1942,NYY,STL,boroh101,coopm101,52.337,62.656,6,9,-3,False,True,62.656,52.337
145947,10/10/1945,1945,CHC,DET,boroh101,newhh101,54.916,62.549,3,9,-6,False,True,62.549,54.916
78404,10/19/1986,1986,NYM,BOS,goodd001,clemr001,59.299,62.534,3,9,-6,False,True,62.534,59.299
160814,10/3/1933,1933,SFG,MIN,hubbc101,stewl101,62.495,52.432,4,2,2,True,False,62.495,52.432
5886,10/25/2017,2017,LAD,HOU,Rich Hill,Justin Verlander,55.944,62.376,6,7,-1,False,True,62.376,55.944
80528,10/19/1985,1985,KCR,STL,jackd001,tudoj001,52.698,62.354,1,3,-2,False,True,62.354,52.698
145949,10/7/1945,1945,CHC,DET,boroh101,newhh101,55.758,62.299,4,8,-4,False,True,62.299,55.758
80525,10/23/1985,1985,STL,KCR,tudoj001,blacb001,62.281,51.834,3,0,3,True,False,62.281,51.834
25606,11/1/2009,2009,PHI,NYY,Joe Blanton,CC Sabathia,52.135,62.219,4,7,-3,False,True,62.219,52.135
8352,10/29/2016,2016,CHC,CLE,John Lackey,Corey Kluber,55.514,62.12,2,7,-5,False,True,62.12,55.514
957,10/22/2019,2019,HOU,WSN,Gerrit Cole,Max Scherzer,67.997,61.808,4,5,-1,False,True,61.808,67.997
951,10/30/2019,2019,HOU,WSN,Zack Greinke,Max Scherzer,56.921,61.724,2,6,-4,False,True,61.724,56.921
164526,10/1/1930,1930,OAK,STL,grovl101,grimb101,61.65,55.53,5,2,3,True,False,61.65,55.53
90437,10/15/1980,1980,PHI,KCR,carls001,gural001,61.508,50.768,6,4,2,True,False,61.508,50.768
52679,10/17/1998,1998,NYY,SDP,welld001,browk001,61.473,67.444,9,6,3,True,False,61.473,67.444
25605,11/2/2009,2009,PHI,NYY,Cliff Lee,A.J. Burnett,61.387,56.379,8,6,2,True,False,61.387,56.379
8351,10/30/2016,2016,CHC,CLE,Jon Lester,Trevor Bauer,61.375,50.414,3,2,1,True,False,61.375,50.414
8355,10/25/2016,2016,CLE,CHC,Corey Kluber,Jon Lester,61.269,61.951,6,0,6,True,False,61.269,61.951
74159,10/20/1988,1988,OAK,LAD,davis001,herso001,46.919,61.191,2,5,-3,False,True,61.191,46.919
184047,10/13/1914,1914,ATL,OAK,rudod101,shawb102,61.178,49.603,3,1,2,True,False,61.178,49.603
37905,10/24/2004,2004,BOS,STL,schic002,morrm001,61.14,48.265,6,2,4,True,False,61.14,48.265
150907,10/2/1941,1941,NYY,LAD,chans101,wyatw101,54.869,61.121,2,3,-1,False,True,61.121,54.869
90433,10/21/1980,1980,PHI,KCR,carls001,galer001,61.004,49.9,4,1,3,True,False,61.004,49.9
176903,10/12/1920,1920,CLE,LAD,coves101,grimb101,60.668,54.376,3,0,3,True,False,60.668,54.376
52677,10/20/1998,1998,SDP,NYY,hitcs001,coned001,54.062,60.582,4,5,-1,False,True,60.582,54.062
45295,11/1/2001,2001,NYY,ARI,mussm001,batim001,60.549,51.543,3,2,1,True,False,60.549,51.543
8349,11/2/2016,2016,CLE,CHC,Corey Kluber,Kyle Hendricks,62.352,60.495,7,8,-1,False,True,60.495,62.352
145948,10/8/1945,1945,CHC,DET,passc101,trucv101,60.431,54.7,8,7,1,True,False,60.431,54.7
184050,10/9/1914,1914,OAK,ATL,bendc101,rudod101,55.61,60.407,1,7,-6,False,True,60.407,55.61
952,10/29/2019,2019,HOU,WSN,Justin Verlander,Stephen Strasburg,62.975,60.273,2,7,-5,False,True,60.273,62.975
956,10/23/2019,2019,HOU,WSN,Justin Verlander,Stephen Strasburg,63.846,60.259,3,12,-9,False,True,60.259,63.846
154633,10/6/1938,1938,CHC,NYY,deand102,gomel102,58.71,60.244,3,6,-3,False,True,60.244,58.71
158347,10/6/1935,1935,CHC,DET,warnl101,rowes101,60.218,60.882,3,1,2,True,False,60.218,60.882
144699,10/13/1946,1946,STL,BOS,brech101,harrm101,60.207,50.742,4,1,3,True,False,60.207,50.742
152154,10/7/1940,1940,CIN,DET,waltb102,rowes101,60.028,51.648,4,0,4,True,False,60.028,51.648
74162,10/16/1988,1988,LAD,OAK,herso001,davis001,59.964,48.342,6,0,6,True,False,59.964,48.342
144704,10/6/1946,1946,STL,BOS,pollh101,hught102,57.189,59.945,2,3,-1,False,True,59.945,57.189
25609,10/28/2009,2009,NYY,PHI,CC Sabathia,Cliff Lee,62.527,59.9,1,6,-5,False,True,59.9,62.527
176906,10/9/1920,1920,CLE,LAD,coves101,cadol101,59.822,52.54,5,1,4,True,False,59.822,52.54
28064,10/27/2008,2008,PHI,TBD,Cole Hamels,Scott Kazmir,59.784,53.611,4,3,1,True,False,59.784,53.611
28068,10/22/2008,2008,TBD,PHI,Scott Kazmir,Cole Hamels,53.871,59.669,2,3,-1,False,True,59.669,53.871
179272,9/9/1918,1918,BOS,CHC,ruthb101,tylel101,59.532,56.38,3,2,1,True,False,59.532,56.38
110547,10/10/1970,1970,CIN,BAL,nolag101,palmj001,54.625,59.411,3,4,-1,False,True,59.411,54.625
